real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 1.0, 900.0%, 900.0%
0.2, 0.2, 1.0, 400.0%, 400.0%
0.3, 0.3, 1.0, 233.333%, 233.333%
0.4, 0.4, 1.0, 150.0%, 150.0%
0.5, 0.5, 1.0, 100.0%, 100.0%
0.6, 0.6, 1.0, 66.667%, 66.667%
0.7, 0.7, 1.0, 42.857%, 42.857%
0.8, 0.8, 1.0, 25.0%, 25.0%
0.9, 0.9, 1.0, 11.111%, 11.111%
1.0, 1.0, 1.0, 0.0%, 0.0%
1.1, 1.1, 1.0, 9.091%, 9.091%
1.2, 1.2, 1.0, 16.667%, 16.667%
1.3, 1.3, 1.0, 23.077%, 23.077%
1.4, 1.4, 1.0, 28.571%, 28.571%
1.5, 1.5, 1.0, 33.333%, 33.333%
1.6, 1.6, 1.0, 37.5%, 37.5%
1.7, 1.7, 1.0, 41.176%, 41.176%
1.8, 1.8, 1.0, 44.444%, 44.444%
1.9, 1.9, 1.0, 47.368%, 47.368%
2.0, 2.0, 2.1, 5.0%, 5.0%
2.1, 2.1, 2.2, 4.762%, 4.762%
2.2, 2.2, 2.2, 0.0%, 0.0%
2.3, 2.3, 2.2, 4.348%, 4.348%
2.4, 2.4, 2.3, 4.167%, 4.167%
2.5, 2.5, 2.3, 8.0%, 8.0%
2.6, 2.6, 2.3, 11.538%, 11.538%
2.7, 2.7, 2.3, 14.815%, 14.815%
2.8, 2.8, 2.8, 0.0%, 0.0%
2.9, 2.9, 2.3, 20.69%, 20.69%
3.0, 3.0, 3.4, 13.333%, 13.333%
3.1, 3.1, 3.4, 9.677%, 9.677%
3.2, 3.2, 3.4, 6.25%, 6.25%
3.3, 3.3, 3.4, 3.03%, 3.03%
3.4, 3.4, 3.4, 0.0%, 0.0%
3.5, 3.5, 3.4, 2.857%, 2.857%
3.6, 3.6, 3.4, 5.556%, 5.556%
3.7, 3.7, 3.4, 8.108%, 8.108%
3.8, 3.8, 3.4, 10.526%, 10.526%
3.9, 3.9, 3.4, 12.821%, 12.821%
4.0, 4.0, 4.5, 12.5%, 12.5%
4.1, 4.1, 4.5, 9.756%, 9.756%
4.2, 4.2, 4.5, 7.143%, 7.143%
4.3, 4.3, 4.5, 4.651%, 4.651%
4.4, 4.4, 4.5, 2.273%, 2.273%
4.5, 4.5, 4.5, 0.0%, 0.0%
4.6, 4.6, 4.5, 2.174%, 2.174%
4.7, 4.7, 4.5, 4.255%, 4.255%
4.8, 4.8, 4.5, 6.25%, 6.25%
4.9, 4.9, 4.5, 8.163%, 8.163%
5.0, 5.0, 4.5, 10.0%, 10.0%
Average error from real rotations: 48.457%
Average error from expected rotations: 48.457%
