real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 1.1, 1000.0%, 1000.0%
0.2, 0.2, 1.1, 450.0%, 450.0%
0.3, 0.3, 1.1, 266.667%, 266.667%
0.4, 0.4, 1.1, 175.0%, 175.0%
0.5, 0.5, 1.1, 120.0%, 120.0%
0.6, 0.6, 1.1, 83.333%, 83.333%
0.7, 0.7, 1.1, 57.143%, 57.143%
0.8, 0.8, 1.9, 137.5%, 137.5%
0.9, 0.9, 1.9, 111.111%, 111.111%
1.0, 1.0, 1.9, 90.0%, 90.0%
1.1, 1.1, 1.9, 72.727%, 72.727%
1.2, 1.2, 1.9, 58.333%, 58.333%
1.3, 1.3, 1.9, 46.154%, 46.154%
1.4, 1.4, 1.9, 35.714%, 35.714%
1.5, 1.5, 1.9, 26.667%, 26.667%
1.6, 1.6, 1.9, 18.75%, 18.75%
1.7, 1.7, 1.9, 11.765%, 11.765%
1.8, 1.8, 1.9, 5.556%, 5.556%
1.9, 1.9, 1.9, 0.0%, 0.0%
2.0, 2.0, 1.9, 5.0%, 5.0%
2.1, 2.1, 1.1, 47.619%, 47.619%
2.2, 2.2, 1.9, 13.636%, 13.636%
2.3, 2.3, 1.9, 17.391%, 17.391%
2.4, 2.4, 1.9, 20.833%, 20.833%
2.5, 2.5, 1.9, 24.0%, 24.0%
2.6, 2.6, 1.9, 26.923%, 26.923%
2.7, 2.7, 1.9, 29.63%, 29.63%
2.8, 2.8, 1.9, 32.143%, 32.143%
2.9, 2.9, 1.9, 34.483%, 34.483%
3.0, 3.0, 1.9, 36.667%, 36.667%
3.1, 3.1, 1.9, 38.71%, 38.71%
3.2, 3.2, 1.9, 40.625%, 40.625%
3.3, 3.3, 1.9, 42.424%, 42.424%
3.4, 3.4, 1.9, 44.118%, 44.118%
3.5, 3.5, 1.9, 45.714%, 45.714%
3.6, 3.6, 1.9, 47.222%, 47.222%
3.7, 3.7, 1.9, 48.649%, 48.649%
3.8, 3.8, 1.9, 50.0%, 50.0%
3.9, 3.9, 1.9, 51.282%, 51.282%
4.0, 4.0, 1.9, 52.5%, 52.5%
4.1, 4.1, 1.9, 53.659%, 53.659%
4.2, 4.2, 1.9, 54.762%, 54.762%
4.3, 4.3, 1.9, 55.814%, 55.814%
4.4, 4.4, 1.9, 56.818%, 56.818%
4.5, 4.5, 1.9, 57.778%, 57.778%
4.6, 4.6, 1.9, 58.696%, 58.696%
4.7, 4.7, 1.9, 59.574%, 59.574%
4.8, 4.8, 1.9, 60.417%, 60.417%
4.9, 4.9, 1.9, 61.224%, 61.224%
5.0, 5.0, 1.9, 62.0%, 62.0%
Average error from real rotations: 81.935%
Average error from expected rotations: 81.935%
