real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 1.0, 900.0%, 900.0%
0.2, 0.2, 1.0, 400.0%, 400.0%
0.3, 0.3, 1.0, 233.333%, 233.333%
0.4, 0.4, 1.0, 150.0%, 150.0%
0.5, 0.5, 1.0, 100.0%, 100.0%
0.6, 0.6, 1.0, 66.667%, 66.667%
0.7, 0.7, 1.0, 42.857%, 42.857%
0.8, 0.8, 1.0, 25.0%, 25.0%
0.9, 0.9, 1.0, 11.111%, 11.111%
1.0, 1.0, 2.2, 120.0%, 120.0%
1.1, 1.1, 2.2, 100.0%, 100.0%
1.2, 1.2, 2.2, 83.333%, 83.333%
1.3, 1.3, 2.3, 76.923%, 76.923%
1.4, 1.4, 2.3, 64.286%, 64.286%
1.5, 1.5, 2.3, 53.333%, 53.333%
1.6, 1.6, 3.4, 112.5%, 112.5%
1.7, 1.7, 3.4, 100.0%, 100.0%
1.8, 1.8, 3.4, 88.889%, 88.889%
1.9, 1.9, 3.4, 78.947%, 78.947%
2.0, 2.0, 4.5, 125.0%, 125.0%
2.1, 2.1, 4.5, 114.286%, 114.286%
2.2, 2.2, 4.5, 104.545%, 104.545%
2.3, 2.3, 4.5, 95.652%, 95.652%
2.4, 2.4, 4.5, 87.5%, 87.5%
2.5, 2.5, 4.5, 80.0%, 80.0%
2.6, 2.6, 4.5, 73.077%, 73.077%
2.7, 2.7, 4.5, 66.667%, 66.667%
2.8, 2.8, 4.5, 60.714%, 60.714%
2.9, 2.9, 4.5, 55.172%, 55.172%
3.0, 3.0, 4.5, 50.0%, 50.0%
3.1, 3.1, 4.6, 48.387%, 48.387%
3.2, 3.2, 4.5, 40.625%, 40.625%
3.3, 3.3, 4.5, 36.364%, 36.364%
3.4, 3.4, 4.5, 32.353%, 32.353%
3.5, 3.5, 4.5, 28.571%, 28.571%
3.6, 3.6, 4.5, 25.0%, 25.0%
3.7, 3.7, 4.5, 21.622%, 21.622%
3.8, 3.8, 4.5, 18.421%, 18.421%
3.9, 3.9, 4.5, 15.385%, 15.385%
4.0, 4.0, 4.6, 15.0%, 15.0%
4.1, 4.1, 4.5, 9.756%, 9.756%
4.2, 4.2, 4.5, 7.143%, 7.143%
4.3, 4.3, 4.5, 4.651%, 4.651%
4.4, 4.4, 4.5, 2.273%, 2.273%
4.5, 4.5, 4.5, 0.0%, 0.0%
4.6, 4.6, 4.5, 2.174%, 2.174%
4.7, 4.7, 4.5, 4.255%, 4.255%
4.8, 4.8, 4.5, 6.25%, 6.25%
4.9, 4.9, 4.5, 8.163%, 8.163%
5.0, 5.0, 4.6, 8.0%, 8.0%
Average error from real rotations: 81.084%
Average error from expected rotations: 81.084%
