real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
1.839, 1.8, 1.0, 45.623%, 44.444%
1.144, 1.1, 0.7, 38.811%, 36.364%
0.922, 0.9, 1.0, 8.46%, 11.111%
1.073, 1.1, 1.0, 6.803%, 9.091%
0.925, 0.9, 1.0, 8.108%, 11.111%
1.188, 1.2, 0.8, 32.66%, 33.333%
1.23, 1.2, 0.8, 34.959%, 33.333%
1.178, 1.2, 1.3, 10.357%, 8.333%
1.047, 1.0, 0.7, 33.142%, 30.0%
1.144, 1.1, 0.5, 56.294%, 54.545%
1.0, 1.0, 1.0, 0.0%, 0.0%
1.013, 1.0, 1.0, 1.283%, 0.0%
1.148, 1.1, 1.0, 12.892%, 9.091%
0.969, 1.0, 1.0, 3.199%, 0.0%
1.056, 1.1, 1.0, 5.303%, 9.091%
1.051, 1.1, 1.0, 4.853%, 9.091%
0.91, 0.9, 1.0, 9.89%, 11.111%
1.331, 1.3, 1.0, 24.869%, 23.077%
0.954, 1.0, 1.0, 4.822%, 0.0%
0.889, 0.9, 0.6, 32.508%, 33.333%
1.153, 1.2, 0.6, 47.962%, 50.0%
1.034, 1.0, 1.0, 3.288%, 0.0%
0.937, 0.9, 0.7, 25.293%, 22.222%
0.98, 1.0, 1.0, 2.041%, 0.0%
0.952, 1.0, 1.0, 5.042%, 0.0%
0.941, 0.9, 0.7, 25.611%, 22.222%
1.062, 1.1, 0.7, 34.087%, 36.364%
1.191, 1.2, 0.6, 49.622%, 50.0%
1.144, 1.1, 1.0, 12.587%, 9.091%
0.778, 0.8, 1.0, 28.535%, 25.0%
1.038, 1.0, 1.0, 3.661%, 0.0%
0.934, 0.9, 0.7, 25.054%, 22.222%
1.183, 1.2, 1.0, 15.469%, 16.667%
Average error from real rotations: 19.791%
Average error from expected rotations: 18.795%
