real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
1.576, 1.6, 1.0, 36.548%, 37.5%
1.931, 1.9, 1.0, 48.213%, 47.368%
0.934, 0.9, 1.0, 7.066%, 11.111%
1.099, 1.1, 1.0, 9.008%, 9.091%
1.341, 1.3, 0.6, 55.257%, 53.846%
1.003, 1.0, 1.0, 0.299%, 0.0%
1.061, 1.1, 0.7, 34.025%, 36.364%
1.045, 1.0, 1.0, 4.306%, 0.0%
0.844, 0.8, 1.0, 18.483%, 25.0%
1.224, 1.2, 1.0, 18.301%, 16.667%
1.118, 1.1, 1.0, 10.555%, 9.091%
1.195, 1.2, 0.7, 41.423%, 41.667%
1.078, 1.1, 1.0, 7.236%, 9.091%
1.403, 1.4, 1.0, 28.724%, 28.571%
1.064, 1.1, 0.7, 34.211%, 36.364%
0.989, 1.0, 1.5, 51.668%, 50.0%
1.295, 1.3, 1.0, 22.78%, 23.077%
1.197, 1.2, 1.0, 16.458%, 16.667%
Average error from real rotations: 24.698%
Average error from expected rotations: 25.082%
