real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.844, 1.064, 964.0%, 26.066%
0.2, 0.844, 1.064, 432.0%, 26.066%
0.3, 0.844, 1.341, 347.0%, 58.886%
0.4, 0.844, 1.341, 235.25%, 58.886%
0.5, 0.844, 1.341, 168.2%, 58.886%
0.6, 0.844, 1.341, 123.5%, 58.886%
0.7, 0.844, 1.341, 91.571%, 58.886%
0.8, 0.844, 1.341, 67.625%, 58.886%
0.9, 0.934, 1.341, 49.0%, 43.576%
1.0, 1.003, 1.341, 34.1%, 33.699%
1.1, 1.099, 1.341, 21.909%, 22.02%
1.2, 1.197, 1.341, 11.75%, 12.03%
1.3, 1.295, 1.341, 3.154%, 3.552%
1.4, 1.403, 1.064, 24.0%, 24.163%
1.5, 1.576, 1.341, 10.6%, 14.911%
1.6, 1.576, 1.341, 16.188%, 14.911%
1.7, 1.576, 1.341, 21.118%, 14.911%
1.8, 1.931, 1.341, 25.5%, 30.554%
1.9, 1.931, 1.341, 29.421%, 30.554%
2.0, 1.931, 1.341, 32.95%, 30.554%
2.1, 1.931, 1.341, 36.143%, 30.554%
2.2, 1.931, 1.341, 39.045%, 30.554%
2.3, 1.931, 1.341, 41.696%, 30.554%
2.4, 1.931, 1.341, 44.125%, 30.554%
2.5, 1.931, 1.341, 46.36%, 30.554%
2.6, 1.931, 1.341, 48.423%, 30.554%
2.7, 1.931, 1.341, 50.333%, 30.554%
2.8, 1.931, 1.341, 52.107%, 30.554%
2.9, 1.931, 1.341, 53.759%, 30.554%
3.0, 1.931, 1.341, 55.3%, 30.554%
3.1, 1.931, 1.341, 56.742%, 30.554%
3.2, 1.931, 1.341, 58.094%, 30.554%
3.3, 1.931, 1.341, 59.364%, 30.554%
3.4, 1.931, 1.341, 60.559%, 30.554%
3.5, 1.931, 1.341, 61.686%, 30.554%
3.6, 1.931, 1.341, 62.75%, 30.554%
3.7, 1.931, 1.341, 63.757%, 30.554%
3.8, 1.931, 1.061, 72.079%, 45.054%
3.9, 1.931, 1.341, 65.615%, 30.554%
4.0, 1.931, 1.341, 66.475%, 30.554%
4.1, 1.931, 1.341, 67.293%, 30.554%
4.2, 1.931, 1.341, 68.071%, 30.554%
4.3, 1.931, 1.061, 75.326%, 45.054%
4.4, 1.931, 1.061, 75.886%, 45.054%
4.5, 1.931, 1.341, 70.2%, 30.554%
4.6, 1.931, 1.341, 70.848%, 30.554%
4.7, 1.931, 1.061, 77.426%, 45.054%
4.8, 1.931, 1.341, 72.062%, 30.554%
4.9, 1.931, 1.061, 78.347%, 45.054%
5.0, 1.931, 1.061, 78.78%, 45.054%
Average error from real rotations: 90.75%
Average error from expected rotations: 33.69%
