real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.829, 1.195, 1095.0%, 44.15%
0.2, 0.829, 1.195, 497.5%, 44.15%
0.3, 0.829, 1.195, 298.333%, 44.15%
0.4, 0.829, 1.195, 198.75%, 44.15%
0.5, 0.829, 1.195, 139.0%, 44.15%
0.6, 0.829, 1.195, 99.167%, 44.15%
0.7, 0.829, 0.962, 37.429%, 16.043%
0.8, 0.829, 0.962, 20.25%, 16.043%
0.9, 0.934, 0.962, 6.889%, 2.998%
1.0, 1.003, 0.962, 3.8%, 4.088%
1.1, 1.099, 0.962, 12.545%, 12.466%
1.2, 1.197, 0.962, 19.833%, 19.632%
1.3, 1.295, 0.962, 26.0%, 25.714%
1.4, 1.403, 0.962, 31.286%, 31.433%
1.5, 1.576, 0.962, 35.867%, 38.959%
1.6, 1.601, 0.962, 39.875%, 39.913%
1.7, 1.601, 0.962, 43.412%, 39.913%
1.8, 1.931, 0.962, 46.556%, 50.181%
1.9, 1.931, 0.962, 49.368%, 50.181%
2.0, 1.931, 0.962, 51.9%, 50.181%
2.1, 1.931, 0.962, 54.19%, 50.181%
2.2, 1.931, 0.962, 56.273%, 50.181%
2.3, 1.931, 0.962, 58.174%, 50.181%
2.4, 1.931, 0.962, 59.917%, 50.181%
2.5, 1.931, 0.962, 61.52%, 50.181%
2.6, 1.931, 0.962, 63.0%, 50.181%
2.7, 1.931, 0.962, 64.37%, 50.181%
2.8, 1.931, 0.962, 65.643%, 50.181%
2.9, 1.931, 0.962, 66.828%, 50.181%
3.0, 1.931, 0.962, 67.933%, 50.181%
3.1, 1.931, 0.962, 68.968%, 50.181%
3.2, 1.931, 0.962, 69.938%, 50.181%
3.3, 1.931, 0.962, 70.848%, 50.181%
3.4, 1.931, 0.962, 71.706%, 50.181%
3.5, 1.931, 0.962, 72.514%, 50.181%
3.6, 1.931, 0.962, 73.278%, 50.181%
3.7, 1.931, 0.962, 74.0%, 50.181%
3.8, 1.931, 0.962, 74.684%, 50.181%
3.9, 1.931, 0.962, 75.333%, 50.181%
4.0, 1.931, 0.962, 75.95%, 50.181%
4.1, 1.931, 0.962, 76.537%, 50.181%
4.2, 1.931, 0.962, 77.095%, 50.181%
4.3, 1.931, 0.962, 77.628%, 50.181%
4.4, 1.931, 0.962, 78.136%, 50.181%
4.5, 1.931, 0.962, 78.622%, 50.181%
4.6, 1.931, 0.962, 79.087%, 50.181%
4.7, 1.931, 0.962, 79.532%, 50.181%
4.8, 1.931, 0.962, 79.958%, 50.181%
4.9, 1.931, 0.962, 80.367%, 50.181%
5.0, 1.931, 0.962, 80.76%, 50.181%
Average error from real rotations: 97.711%
Average error from expected rotations: 43.362%
