real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
1.576, 1.6, 0.7, 55.584%, 56.25%
0.944, 0.9, 0.7, 25.847%, 22.222%
1.931, 1.9, 0.7, 63.749%, 63.158%
1.096, 1.1, 0.7, 36.131%, 36.364%
0.934, 0.9, 0.7, 25.054%, 22.222%
1.577, 1.6, 0.7, 55.612%, 56.25%
1.099, 1.1, 0.7, 36.306%, 36.364%
1.176, 1.2, 0.7, 40.476%, 41.667%
1.341, 1.3, 0.7, 47.8%, 46.154%
0.829, 0.8, 0.7, 15.561%, 12.5%
1.003, 1.0, 0.7, 30.209%, 30.0%
1.185, 1.2, 0.7, 40.928%, 41.667%
1.061, 1.1, 0.7, 34.025%, 36.364%
1.601, 1.6, 0.7, 56.277%, 56.25%
1.045, 1.0, 0.7, 33.014%, 30.0%
1.187, 1.2, 0.7, 41.028%, 41.667%
0.844, 0.8, 0.7, 17.062%, 12.5%
1.085, 1.1, 0.7, 35.484%, 36.364%
1.224, 1.2, 0.7, 42.81%, 41.667%
1.044, 1.0, 0.7, 32.95%, 30.0%
1.118, 1.1, 0.7, 37.388%, 36.364%
0.962, 1.0, 0.7, 27.235%, 30.0%
1.195, 1.2, 0.7, 41.423%, 41.667%
1.13, 1.1, 0.7, 38.053%, 36.364%
1.078, 1.1, 0.7, 35.065%, 36.364%
1.145, 1.1, 0.7, 38.865%, 36.364%
1.403, 1.4, 0.7, 50.107%, 50.0%
0.997, 1.0, 0.7, 29.789%, 30.0%
1.064, 1.1, 0.7, 34.211%, 36.364%
1.078, 1.1, 0.7, 35.065%, 36.364%
0.989, 1.0, 0.7, 29.221%, 30.0%
1.084, 1.1, 0.7, 35.424%, 36.364%
1.295, 1.3, 0.7, 45.946%, 46.154%
1.104, 1.1, 0.7, 36.594%, 36.364%
1.197, 1.2, 0.7, 41.52%, 41.667%
0.965, 1.0, 0.7, 27.461%, 30.0%
Average error from real rotations: 37.48%
Average error from expected rotations: 37.223%
