real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
1.839, 1.8, 0.7, 61.936%, 61.111%
1.144, 1.1, 0.6, 47.552%, 45.455%
0.922, 0.9, 0.6, 34.924%, 33.333%
1.073, 1.1, 0.6, 44.082%, 45.455%
0.925, 0.9, 0.7, 24.324%, 22.222%
1.188, 1.2, 0.7, 41.077%, 41.667%
1.23, 1.2, 0.7, 43.089%, 41.667%
1.178, 1.2, 1.1, 6.621%, 8.333%
1.047, 1.0, 0.6, 42.693%, 40.0%
1.144, 1.1, 0.7, 38.811%, 36.364%
1.0, 1.0, 0.7, 30.0%, 30.0%
1.013, 1.0, 0.7, 30.898%, 30.0%
1.148, 1.1, 0.7, 39.024%, 36.364%
0.969, 1.0, 0.7, 27.761%, 30.0%
1.056, 1.1, 0.7, 33.712%, 36.364%
1.051, 1.1, 0.7, 33.397%, 36.364%
0.91, 0.9, 0.7, 23.077%, 22.222%
1.331, 1.3, 0.7, 47.408%, 46.154%
0.954, 1.0, 0.6, 37.107%, 40.0%
0.889, 0.9, 0.6, 32.508%, 33.333%
1.153, 1.2, 0.6, 47.962%, 50.0%
1.034, 1.0, 0.7, 32.302%, 30.0%
0.937, 0.9, 0.7, 25.293%, 22.222%
0.98, 1.0, 0.7, 28.571%, 30.0%
0.952, 1.0, 0.7, 26.471%, 30.0%
0.941, 0.9, 0.7, 25.611%, 22.222%
1.062, 1.1, 0.7, 34.087%, 36.364%
1.191, 1.2, 0.6, 49.622%, 50.0%
1.144, 1.1, 0.6, 47.552%, 45.455%
0.778, 0.8, 0.6, 22.879%, 25.0%
1.038, 1.0, 0.7, 32.563%, 30.0%
0.934, 0.9, 0.7, 25.054%, 22.222%
1.183, 1.2, 0.6, 49.281%, 50.0%
Average error from real rotations: 35.371%
Average error from expected rotations: 35.148%
