real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.775, 0.937, 837.0%, 20.903%
0.2, 0.775, 0.775, 287.5%, 0.0%
0.3, 0.775, 0.775, 158.333%, 0.0%
0.4, 0.775, 1.153, 188.25%, 48.774%
0.5, 0.775, 0.775, 55.0%, 0.0%
0.6, 0.775, 0.889, 48.167%, 14.71%
0.7, 0.775, 0.889, 27.0%, 14.71%
0.8, 0.778, 0.889, 11.125%, 14.267%
0.9, 0.91, 0.889, 1.222%, 2.308%
1.0, 1.0, 0.889, 11.1%, 11.1%
1.1, 1.099, 0.889, 19.182%, 19.108%
1.2, 1.201, 0.889, 25.917%, 25.978%
1.3, 1.318, 0.889, 31.615%, 32.549%
1.4, 1.331, 0.889, 36.5%, 33.208%
1.5, 1.331, 0.889, 40.733%, 33.208%
1.6, 1.839, 0.889, 44.438%, 51.659%
1.7, 1.839, 0.889, 47.706%, 51.659%
1.8, 1.839, 0.889, 50.611%, 51.659%
1.9, 1.945, 0.889, 53.211%, 54.293%
2.0, 1.945, 0.889, 55.55%, 54.293%
2.1, 1.945, 0.889, 57.667%, 54.293%
2.2, 1.945, 0.889, 59.591%, 54.293%
2.3, 1.945, 0.889, 61.348%, 54.293%
2.4, 1.945, 0.889, 62.958%, 54.293%
2.5, 1.945, 0.889, 64.44%, 54.293%
2.6, 1.945, 0.889, 65.808%, 54.293%
2.7, 1.945, 0.889, 67.074%, 54.293%
2.8, 1.945, 0.889, 68.25%, 54.293%
2.9, 1.945, 0.775, 73.276%, 60.154%
3.0, 1.945, 0.889, 70.367%, 54.293%
3.1, 1.945, 0.889, 71.323%, 54.293%
3.2, 1.945, 0.889, 72.219%, 54.293%
3.3, 1.945, 0.889, 73.061%, 54.293%
3.4, 1.945, 0.775, 77.206%, 60.154%
3.5, 1.945, 0.775, 77.857%, 60.154%
3.6, 1.945, 0.775, 78.472%, 60.154%
3.7, 1.945, 0.889, 75.973%, 54.293%
3.8, 1.945, 0.775, 79.605%, 60.154%
3.9, 1.945, 0.831, 78.692%, 57.275%
4.0, 1.945, 0.775, 80.625%, 60.154%
4.1, 1.945, 0.775, 81.098%, 60.154%
4.2, 1.945, 0.775, 81.548%, 60.154%
4.3, 1.945, 0.831, 80.674%, 57.275%
4.4, 1.945, 0.775, 82.386%, 60.154%
4.5, 1.945, 0.775, 82.778%, 60.154%
4.6, 1.945, 0.775, 83.152%, 60.154%
4.7, 1.945, 0.831, 82.319%, 57.275%
4.8, 1.945, 0.775, 83.854%, 60.154%
4.9, 1.945, 0.775, 84.184%, 60.154%
5.0, 1.945, 0.831, 83.38%, 57.275%
5.1, 1.945, 0.775, 84.804%, 60.154%
5.2, 1.945, 0.775, 85.096%, 60.154%
5.3, 1.945, 0.775, 85.377%, 60.154%
5.4, 1.945, 0.831, 84.611%, 57.275%
5.5, 1.945, 0.775, 85.909%, 60.154%
5.6, 1.945, 0.775, 86.161%, 60.154%
5.7, 1.945, 0.775, 86.404%, 60.154%
5.8, 1.945, 0.775, 86.638%, 60.154%
5.9, 1.945, 0.775, 86.864%, 60.154%
6.0, 1.945, 0.775, 87.083%, 60.154%
6.1, 1.945, 0.775, 87.295%, 60.154%
6.2, 1.945, 0.775, 87.5%, 60.154%
6.3, 1.945, 0.775, 87.698%, 60.154%
6.4, 1.945, 0.775, 87.891%, 60.154%
6.5, 1.945, 0.775, 88.077%, 60.154%
6.6, 1.945, 0.775, 88.258%, 60.154%
6.7, 1.945, 0.775, 88.433%, 60.154%
6.8, 1.945, 0.775, 88.603%, 60.154%
6.9, 1.945, 0.775, 88.768%, 60.154%
7.0, 1.945, 0.775, 88.929%, 60.154%
7.1, 1.945, 0.775, 89.085%, 60.154%
7.2, 1.945, 0.775, 89.236%, 60.154%
7.3, 1.945, 0.889, 87.822%, 54.293%
7.4, 1.945, 0.775, 89.527%, 60.154%
7.5, 1.945, 0.775, 89.667%, 60.154%
7.6, 1.945, 0.775, 89.803%, 60.154%
7.7, 1.945, 0.775, 89.935%, 60.154%
7.8, 1.945, 0.775, 90.064%, 60.154%
7.9, 1.945, 0.775, 90.19%, 60.154%
8.0, 1.945, 0.775, 90.312%, 60.154%
8.1, 1.945, 0.775, 90.432%, 60.154%
8.2, 1.945, 0.889, 89.159%, 54.293%
8.3, 1.945, 0.775, 90.663%, 60.154%
8.4, 1.945, 0.775, 90.774%, 60.154%
8.5, 1.945, 0.775, 90.882%, 60.154%
8.6, 1.945, 0.775, 90.988%, 60.154%
8.7, 1.945, 0.889, 89.782%, 54.293%
8.8, 1.945, 0.775, 91.193%, 60.154%
8.9, 1.945, 0.775, 91.292%, 60.154%
9.0, 1.945, 0.775, 91.389%, 60.154%
9.1, 1.945, 0.889, 90.231%, 54.293%
9.2, 1.945, 0.889, 90.337%, 54.293%
9.3, 1.945, 0.889, 90.441%, 54.293%
9.4, 1.945, 0.889, 90.543%, 54.293%
9.5, 1.945, 0.775, 91.842%, 60.154%
9.6, 1.945, 0.889, 90.74%, 54.293%
9.7, 1.945, 0.775, 92.01%, 60.154%
9.8, 1.945, 0.889, 90.929%, 54.293%
9.9, 1.945, 0.889, 91.02%, 54.293%
10.0, 1.945, 0.889, 91.11%, 54.293%
Average error from real rotations: 87.231%
Average error from expected rotations: 51.916%
