real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 0.7, 600.0%, 600.0%
0.2, 0.2, 0.5, 150.0%, 150.0%
0.3, 0.3, 0.6, 100.0%, 100.0%
0.4, 0.4, 0.6, 50.0%, 50.0%
0.5, 0.5, 0.6, 20.0%, 20.0%
0.6, 0.6, 0.6, 0.0%, 0.0%
0.7, 0.7, 0.6, 14.286%, 14.286%
0.8, 0.8, 0.6, 25.0%, 25.0%
0.9, 0.9, 0.6, 33.333%, 33.333%
1.0, 1.0, 0.6, 40.0%, 40.0%
1.1, 1.1, 0.6, 45.455%, 45.455%
1.2, 1.2, 0.6, 50.0%, 50.0%
1.3, 1.3, 0.6, 53.846%, 53.846%
1.4, 1.4, 0.6, 57.143%, 57.143%
1.5, 1.5, 0.6, 60.0%, 60.0%
1.6, 1.6, 0.7, 56.25%, 56.25%
1.7, 1.7, 0.7, 58.824%, 58.824%
1.8, 1.8, 0.7, 61.111%, 61.111%
1.9, 1.9, 0.7, 63.158%, 63.158%
2.0, 2.0, 0.7, 65.0%, 65.0%
2.1, 2.1, 0.7, 66.667%, 66.667%
2.2, 2.2, 0.7, 68.182%, 68.182%
2.3, 2.3, 0.7, 69.565%, 69.565%
2.4, 2.4, 0.7, 70.833%, 70.833%
2.5, 2.5, 0.9, 64.0%, 64.0%
2.6, 2.6, 0.9, 65.385%, 65.385%
2.7, 2.7, 0.9, 66.667%, 66.667%
2.8, 2.8, 0.9, 67.857%, 67.857%
2.9, 2.9, 0.9, 68.966%, 68.966%
3.0, 3.0, 0.9, 70.0%, 70.0%
3.1, 3.1, 1.1, 64.516%, 64.516%
3.2, 3.2, 1.1, 65.625%, 65.625%
3.3, 3.3, 1.1, 66.667%, 66.667%
3.4, 3.4, 1.1, 67.647%, 67.647%
3.5, 3.5, 1.1, 68.571%, 68.571%
3.6, 3.6, 1.1, 69.444%, 69.444%
3.7, 3.7, 1.1, 70.27%, 70.27%
3.8, 3.8, 1.1, 71.053%, 71.053%
3.9, 3.9, 1.1, 71.795%, 71.795%
4.0, 4.0, 1.2, 70.0%, 70.0%
4.1, 4.1, 1.2, 70.732%, 70.732%
4.2, 4.2, 1.2, 71.429%, 71.429%
4.3, 4.3, 1.3, 69.767%, 69.767%
4.4, 4.4, 1.5, 65.909%, 65.909%
4.5, 4.5, 1.5, 66.667%, 66.667%
4.6, 4.6, 1.5, 67.391%, 67.391%
4.7, 4.7, 1.5, 68.085%, 68.085%
4.8, 4.8, 1.5, 68.75%, 68.75%
4.9, 4.9, 1.5, 69.388%, 69.388%
5.0, 5.0, 1.6, 68.0%, 68.0%
Average error from real rotations: 73.065%
Average error from expected rotations: 73.065%
