real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 0.6, 500.0%, 500.0%
0.2, 0.2, 0.6, 200.0%, 200.0%
0.3, 0.3, 0.5, 66.667%, 66.667%
0.4, 0.4, 0.6, 50.0%, 50.0%
0.5, 0.5, 0.6, 20.0%, 20.0%
0.6, 0.6, 0.6, 0.0%, 0.0%
0.7, 0.7, 0.6, 14.286%, 14.286%
0.8, 0.8, 0.7, 12.5%, 12.5%
0.9, 0.9, 0.8, 11.111%, 11.111%
1.0, 1.0, 0.8, 20.0%, 20.0%
1.1, 1.1, 0.8, 27.273%, 27.273%
1.2, 1.2, 0.8, 33.333%, 33.333%
1.3, 1.3, 0.9, 30.769%, 30.769%
1.4, 1.4, 0.9, 35.714%, 35.714%
1.5, 1.5, 0.9, 40.0%, 40.0%
1.6, 1.6, 1.2, 25.0%, 25.0%
1.7, 1.7, 1.2, 29.412%, 29.412%
1.8, 1.8, 1.2, 33.333%, 33.333%
1.9, 1.9, 1.2, 36.842%, 36.842%
2.0, 2.0, 1.2, 40.0%, 40.0%
2.1, 2.1, 1.2, 42.857%, 42.857%
2.2, 2.2, 1.2, 45.455%, 45.455%
2.3, 2.3, 1.5, 34.783%, 34.783%
2.4, 2.4, 1.5, 37.5%, 37.5%
2.5, 2.5, 1.6, 36.0%, 36.0%
2.6, 2.6, 1.6, 38.462%, 38.462%
2.7, 2.7, 1.6, 40.741%, 40.741%
2.8, 2.8, 1.6, 42.857%, 42.857%
2.9, 2.9, 1.6, 44.828%, 44.828%
3.0, 3.0, 1.6, 46.667%, 46.667%
3.1, 3.1, 1.6, 48.387%, 48.387%
3.2, 3.2, 1.8, 43.75%, 43.75%
3.3, 3.3, 2.4, 27.273%, 27.273%
3.4, 3.4, 2.4, 29.412%, 29.412%
3.5, 3.5, 2.4, 31.429%, 31.429%
3.6, 3.6, 2.6, 27.778%, 27.778%
3.7, 3.7, 2.6, 29.73%, 29.73%
3.8, 3.8, 2.2, 42.105%, 42.105%
3.9, 3.9, 2.6, 33.333%, 33.333%
4.0, 4.0, 2.6, 35.0%, 35.0%
4.1, 4.1, 2.7, 34.146%, 34.146%
4.2, 4.2, 2.8, 33.333%, 33.333%
4.3, 4.3, 2.6, 39.535%, 39.535%
4.4, 4.4, 2.8, 36.364%, 36.364%
4.5, 4.5, 2.8, 37.778%, 37.778%
4.6, 4.6, 2.8, 39.13%, 39.13%
4.7, 4.7, 2.8, 40.426%, 40.426%
4.8, 4.8, 2.8, 41.667%, 41.667%
4.9, 4.9, 2.8, 42.857%, 42.857%
5.0, 5.0, 2.8, 44.0%, 44.0%
Average error from real rotations: 47.476%
Average error from expected rotations: 47.476%
