real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
1.576, 1.6, 0.9, 42.893%, 43.75%
0.944, 0.9, 0.6, 36.441%, 33.333%
1.931, 1.9, 0.8, 58.571%, 57.895%
1.096, 1.1, 0.6, 45.255%, 45.455%
0.934, 0.9, 0.8, 14.347%, 11.111%
1.577, 1.6, 0.8, 49.271%, 50.0%
1.099, 1.1, 0.9, 18.107%, 18.182%
1.176, 1.2, 0.9, 23.469%, 25.0%
1.341, 1.3, 0.6, 55.257%, 53.846%
0.829, 0.8, 0.9, 8.565%, 12.5%
1.003, 1.0, 0.9, 10.269%, 10.0%
1.185, 1.2, 0.8, 32.489%, 33.333%
1.061, 1.1, 0.6, 43.45%, 45.455%
1.601, 1.6, 0.9, 43.785%, 43.75%
1.045, 1.0, 0.9, 13.876%, 10.0%
1.187, 1.2, 0.6, 49.452%, 50.0%
0.844, 0.8, 0.9, 6.635%, 12.5%
1.085, 1.1, 0.9, 17.051%, 18.182%
1.224, 1.2, 0.9, 26.471%, 25.0%
1.044, 1.0, 0.6, 42.529%, 40.0%
1.118, 1.1, 0.9, 19.499%, 18.182%
0.962, 1.0, 0.9, 6.445%, 10.0%
1.195, 1.2, 0.6, 49.791%, 50.0%
1.13, 1.1, 0.9, 20.354%, 18.182%
1.078, 1.1, 0.9, 16.512%, 18.182%
1.145, 1.1, 0.9, 21.397%, 18.182%
1.403, 1.4, 0.9, 35.852%, 35.714%
0.997, 1.0, 0.9, 9.729%, 10.0%
1.064, 1.1, 0.6, 43.609%, 45.455%
1.078, 1.1, 0.6, 44.341%, 45.455%
0.989, 1.0, 0.8, 19.11%, 20.0%
1.084, 1.1, 0.9, 16.974%, 18.182%
1.295, 1.3, 0.9, 30.502%, 30.769%
1.104, 1.1, 0.6, 45.652%, 45.455%
1.197, 1.2, 0.9, 24.812%, 25.0%
0.965, 1.0, 0.9, 6.736%, 10.0%
Average error from real rotations: 29.153%
Average error from expected rotations: 29.39%
