real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 1.2, 1100.0%, 1100.0%
0.2, 0.2, 1.2, 500.0%, 500.0%
0.3, 0.3, 1.2, 300.0%, 300.0%
0.4, 0.4, 1.1, 175.0%, 175.0%
0.5, 0.5, 1.1, 120.0%, 120.0%
0.6, 0.6, 1.1, 83.333%, 83.333%
0.7, 0.7, 1.1, 57.143%, 57.143%
0.8, 0.8, 1.7, 112.5%, 112.5%
0.9, 0.9, 1.7, 88.889%, 88.889%
1.0, 1.0, 2.3, 130.0%, 130.0%
1.1, 1.1, 2.3, 109.091%, 109.091%
1.2, 1.2, 2.3, 91.667%, 91.667%
1.3, 1.3, 2.8, 115.385%, 115.385%
1.4, 1.4, 2.8, 100.0%, 100.0%
1.5, 1.5, 2.8, 86.667%, 86.667%
1.6, 1.6, 2.8, 75.0%, 75.0%
1.7, 1.7, 2.8, 64.706%, 64.706%
1.8, 1.8, 3.5, 94.444%, 94.444%
1.9, 1.9, 3.8, 100.0%, 100.0%
2.0, 2.0, 4.0, 100.0%, 100.0%
2.1, 2.1, 4.2, 100.0%, 100.0%
2.2, 2.2, 3.9, 77.273%, 77.273%
2.3, 2.3, 4.2, 82.609%, 82.609%
2.4, 2.4, 5.0, 108.333%, 108.333%
2.5, 2.5, 5.0, 100.0%, 100.0%
2.6, 2.6, 5.0, 92.308%, 92.308%
2.7, 2.7, 5.0, 85.185%, 85.185%
2.8, 2.8, 5.0, 78.571%, 78.571%
2.9, 2.9, 5.0, 72.414%, 72.414%
3.0, 3.0, 5.0, 66.667%, 66.667%
3.1, 3.1, 5.0, 61.29%, 61.29%
3.2, 3.2, 5.0, 56.25%, 56.25%
3.3, 3.3, 5.0, 51.515%, 51.515%
3.4, 3.4, 5.0, 47.059%, 47.059%
3.5, 3.5, 5.0, 42.857%, 42.857%
3.6, 3.6, 5.0, 38.889%, 38.889%
3.7, 3.7, 4.9, 32.432%, 32.432%
3.8, 3.8, 5.0, 31.579%, 31.579%
3.9, 3.9, 5.0, 28.205%, 28.205%
4.0, 4.0, 5.0, 25.0%, 25.0%
4.1, 4.1, 5.0, 21.951%, 21.951%
4.2, 4.2, 5.0, 19.048%, 19.048%
4.3, 4.3, 5.0, 16.279%, 16.279%
4.4, 4.4, 5.0, 13.636%, 13.636%
4.5, 4.5, 4.9, 8.889%, 8.889%
4.6, 4.6, 5.0, 8.696%, 8.696%
4.7, 4.7, 5.0, 6.383%, 6.383%
4.8, 4.8, 5.0, 4.167%, 4.167%
4.9, 4.9, 5.0, 2.041%, 2.041%
5.0, 5.0, 4.9, 2.0%, 2.0%
Average error from real rotations: 99.707%
Average error from expected rotations: 99.707%
