real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
1.576, 1.6, 0.8, 49.239%, 50.0%
1.931, 1.9, 1.3, 32.677%, 31.579%
0.934, 0.9, 0.8, 14.347%, 11.111%
1.099, 1.1, 1.3, 18.289%, 18.182%
1.341, 1.3, 1.2, 10.515%, 7.692%
1.003, 1.0, 1.3, 29.611%, 30.0%
1.061, 1.1, 1.2, 13.101%, 9.091%
1.045, 1.0, 1.3, 24.402%, 30.0%
0.844, 0.8, 1.3, 54.028%, 62.5%
1.224, 1.2, 1.3, 6.209%, 8.333%
1.118, 1.1, 1.3, 16.279%, 18.182%
1.195, 1.2, 0.8, 33.054%, 33.333%
1.078, 1.1, 1.3, 20.594%, 18.182%
1.403, 1.4, 1.3, 7.341%, 7.143%
1.064, 1.1, 0.8, 24.812%, 27.273%
0.989, 1.0, 1.3, 31.446%, 30.0%
1.295, 1.3, 1.3, 0.386%, 0.0%
1.197, 1.2, 1.3, 8.605%, 8.333%
Average error from real rotations: 21.941%
Average error from expected rotations: 22.274%
