real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 0.2, 100.0%, 100.0%
0.2, 0.2, 0.3, 50.0%, 50.0%
0.3, 0.3, 0.3, 0.0%, 0.0%
0.4, 0.4, 0.2, 50.0%, 50.0%
0.5, 0.5, 0.3, 40.0%, 40.0%
0.6, 0.6, 0.3, 50.0%, 50.0%
0.7, 0.7, 0.2, 71.429%, 71.429%
0.8, 0.8, 0.2, 75.0%, 75.0%
0.9, 0.9, 0.2, 77.778%, 77.778%
1.0, 1.0, 0.2, 80.0%, 80.0%
1.1, 1.1, 0.2, 81.818%, 81.818%
1.2, 1.2, 0.2, 83.333%, 83.333%
1.3, 1.3, 0.2, 84.615%, 84.615%
1.4, 1.4, 0.2, 85.714%, 85.714%
1.5, 1.5, 0.2, 86.667%, 86.667%
1.6, 1.6, 0.2, 87.5%, 87.5%
1.7, 1.7, 0.2, 88.235%, 88.235%
1.8, 1.8, 0.2, 88.889%, 88.889%
1.9, 1.9, 0.2, 89.474%, 89.474%
2.0, 2.0, 0.2, 90.0%, 90.0%
2.1, 2.1, 0.2, 90.476%, 90.476%
2.2, 2.2, 0.2, 90.909%, 90.909%
2.3, 2.3, 0.2, 91.304%, 91.304%
2.4, 2.4, 0.2, 91.667%, 91.667%
2.5, 2.5, 0.2, 92.0%, 92.0%
2.6, 2.6, 0.2, 92.308%, 92.308%
2.7, 2.7, 0.2, 92.593%, 92.593%
2.8, 2.8, 0.2, 92.857%, 92.857%
2.9, 2.9, 0.2, 93.103%, 93.103%
3.0, 3.0, 0.2, 93.333%, 93.333%
3.1, 3.1, 0.2, 93.548%, 93.548%
3.2, 3.2, 0.2, 93.75%, 93.75%
3.3, 3.3, 0.2, 93.939%, 93.939%
3.4, 3.4, 0.2, 94.118%, 94.118%
3.5, 3.5, 0.2, 94.286%, 94.286%
3.6, 3.6, 0.2, 94.444%, 94.444%
3.7, 3.7, 0.2, 94.595%, 94.595%
3.8, 3.8, 0.2, 94.737%, 94.737%
3.9, 3.9, 0.2, 94.872%, 94.872%
4.0, 4.0, 0.2, 95.0%, 95.0%
4.1, 4.1, 0.2, 95.122%, 95.122%
4.2, 4.2, 0.2, 95.238%, 95.238%
4.3, 4.3, 0.2, 95.349%, 95.349%
4.4, 4.4, 0.2, 95.455%, 95.455%
4.5, 4.5, 0.2, 95.556%, 95.556%
4.6, 4.6, 0.2, 95.652%, 95.652%
4.7, 4.7, 0.2, 95.745%, 95.745%
4.8, 4.8, 0.2, 95.833%, 95.833%
4.9, 4.9, 0.2, 95.918%, 95.918%
5.0, 5.0, 0.2, 96.0%, 96.0%
Average error from real rotations: 85.603%
Average error from expected rotations: 85.603%
