real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
1.576, 1.6, 0.9, 42.893%, 43.75%
0.944, 0.9, 0.6, 36.441%, 33.333%
1.931, 1.9, 0.9, 53.392%, 52.632%
1.096, 1.1, 0.6, 45.255%, 45.455%
0.934, 0.9, 0.9, 3.64%, 0.0%
1.577, 1.6, 0.9, 42.93%, 43.75%
1.099, 1.1, 0.9, 18.107%, 18.182%
1.176, 1.2, 0.9, 23.469%, 25.0%
1.341, 1.3, 0.6, 55.257%, 53.846%
0.829, 0.8, 0.9, 8.565%, 12.5%
1.003, 1.0, 1.0, 0.299%, 0.0%
1.185, 1.2, 1.3, 9.705%, 8.333%
1.061, 1.1, 0.6, 43.45%, 45.455%
1.601, 1.6, 0.9, 43.785%, 43.75%
1.045, 1.0, 1.1, 5.263%, 10.0%
1.187, 1.2, 0.6, 49.452%, 50.0%
0.844, 0.8, 0.9, 6.635%, 12.5%
1.085, 1.1, 0.9, 17.051%, 18.182%
1.224, 1.2, 0.9, 26.471%, 25.0%
1.044, 1.0, 0.6, 42.529%, 40.0%
1.118, 1.1, 1.0, 10.555%, 9.091%
0.962, 1.0, 0.9, 6.445%, 10.0%
1.195, 1.2, 0.7, 41.423%, 41.667%
1.13, 1.1, 1.1, 2.655%, 0.0%
1.078, 1.1, 1.0, 7.236%, 9.091%
1.145, 1.1, 1.1, 3.93%, 0.0%
1.403, 1.4, 1.0, 28.724%, 28.571%
0.997, 1.0, 1.0, 0.301%, 0.0%
1.064, 1.1, 0.7, 34.211%, 36.364%
1.078, 1.1, 0.6, 44.341%, 45.455%
0.989, 1.0, 1.4, 41.557%, 40.0%
1.084, 1.1, 1.0, 7.749%, 9.091%
1.295, 1.3, 1.0, 22.78%, 23.077%
1.104, 1.1, 0.6, 45.652%, 45.455%
1.197, 1.2, 1.0, 16.458%, 16.667%
0.965, 1.0, 1.1, 13.99%, 10.0%
Average error from real rotations: 25.072%
Average error from expected rotations: 25.172%
