real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 0.2, 100.0%, 100.0%
0.2, 0.2, 0.2, 0.0%, 0.0%
0.3, 0.3, 0.3, 0.0%, 0.0%
0.4, 0.4, 0.4, 0.0%, 0.0%
0.5, 0.5, 0.5, 0.0%, 0.0%
0.6, 0.6, 0.6, 0.0%, 0.0%
0.7, 0.7, 0.7, 0.0%, 0.0%
0.8, 0.8, 0.8, 0.0%, 0.0%
0.9, 0.9, 0.9, 0.0%, 0.0%
1.0, 1.0, 1.1, 10.0%, 10.0%
1.1, 1.1, 1.2, 9.091%, 9.091%
1.2, 1.2, 1.3, 8.333%, 8.333%
1.3, 1.3, 1.4, 7.692%, 7.692%
1.4, 1.4, 1.5, 7.143%, 7.143%
1.5, 1.5, 1.6, 6.667%, 6.667%
1.6, 1.6, 1.7, 6.25%, 6.25%
1.7, 1.7, 1.8, 5.882%, 5.882%
1.8, 1.8, 1.9, 5.556%, 5.556%
1.9, 1.9, 2.0, 5.263%, 5.263%
2.0, 2.0, 2.1, 5.0%, 5.0%
2.1, 2.1, 2.2, 4.762%, 4.762%
2.2, 2.2, 2.3, 4.545%, 4.545%
2.3, 2.3, 2.4, 4.348%, 4.348%
2.4, 2.4, 2.6, 8.333%, 8.333%
2.5, 2.5, 2.6, 4.0%, 4.0%
2.6, 2.6, 2.6, 0.0%, 0.0%
2.7, 2.7, 2.8, 3.704%, 3.704%
2.8, 2.8, 2.8, 0.0%, 0.0%
2.9, 2.9, 3.1, 6.897%, 6.897%
3.0, 3.0, 3.1, 3.333%, 3.333%
3.1, 3.1, 3.1, 0.0%, 0.0%
3.2, 3.2, 3.2, 0.0%, 0.0%
3.3, 3.3, 3.2, 3.03%, 3.03%
3.4, 3.4, 3.5, 2.941%, 2.941%
3.5, 3.5, 3.5, 0.0%, 0.0%
3.6, 3.6, 3.6, 0.0%, 0.0%
3.7, 3.7, 3.6, 2.703%, 2.703%
3.8, 3.8, 4.0, 5.263%, 5.263%
3.9, 3.9, 4.0, 2.564%, 2.564%
4.0, 4.0, 4.0, 0.0%, 0.0%
4.1, 4.1, 4.2, 2.439%, 2.439%
4.2, 4.2, 4.1, 2.381%, 2.381%
4.3, 4.3, 4.2, 2.326%, 2.326%
4.4, 4.4, 4.6, 4.545%, 4.545%
4.5, 4.5, 4.6, 2.222%, 2.222%
4.6, 4.6, 4.9, 6.522%, 6.522%
4.7, 4.7, 4.9, 4.255%, 4.255%
4.8, 4.8, 4.9, 2.083%, 2.083%
4.9, 4.9, 4.9, 0.0%, 0.0%
5.0, 5.0, 4.9, 2.0%, 2.0%
Average error from real rotations: 5.241%
Average error from expected rotations: 5.241%
