real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 0.6, 500.0%, 500.0%
0.2, 0.2, 0.5, 150.0%, 150.0%
0.3, 0.3, 0.6, 100.0%, 100.0%
0.4, 0.4, 0.5, 25.0%, 25.0%
0.5, 0.5, 0.7, 40.0%, 40.0%
0.6, 0.6, 0.7, 16.667%, 16.667%
0.7, 0.7, 0.7, 0.0%, 0.0%
0.8, 0.8, 0.7, 12.5%, 12.5%
0.9, 0.9, 0.7, 22.222%, 22.222%
1.0, 1.0, 0.7, 30.0%, 30.0%
1.1, 1.1, 0.7, 36.364%, 36.364%
1.2, 1.2, 0.7, 41.667%, 41.667%
1.3, 1.3, 0.7, 46.154%, 46.154%
1.4, 1.4, 0.7, 50.0%, 50.0%
1.5, 1.5, 0.7, 53.333%, 53.333%
1.6, 1.6, 0.7, 56.25%, 56.25%
1.7, 1.7, 0.7, 58.824%, 58.824%
1.8, 1.8, 0.7, 61.111%, 61.111%
1.9, 1.9, 0.7, 63.158%, 63.158%
2.0, 2.0, 0.7, 65.0%, 65.0%
2.1, 2.1, 0.7, 66.667%, 66.667%
2.2, 2.2, 0.7, 68.182%, 68.182%
2.3, 2.3, 0.7, 69.565%, 69.565%
2.4, 2.4, 0.7, 70.833%, 70.833%
2.5, 2.5, 0.9, 64.0%, 64.0%
2.6, 2.6, 0.9, 65.385%, 65.385%
2.7, 2.7, 0.9, 66.667%, 66.667%
2.8, 2.8, 0.9, 67.857%, 67.857%
2.9, 2.9, 0.9, 68.966%, 68.966%
3.0, 3.0, 0.9, 70.0%, 70.0%
3.1, 3.1, 0.9, 70.968%, 70.968%
3.2, 3.2, 0.9, 71.875%, 71.875%
3.3, 3.3, 0.9, 72.727%, 72.727%
3.4, 3.4, 0.9, 73.529%, 73.529%
3.5, 3.5, 0.9, 74.286%, 74.286%
3.6, 3.6, 0.9, 75.0%, 75.0%
3.7, 3.7, 0.9, 75.676%, 75.676%
3.8, 3.8, 0.9, 76.316%, 76.316%
3.9, 3.9, 0.9, 76.923%, 76.923%
4.0, 4.0, 0.9, 77.5%, 77.5%
4.1, 4.1, 1.6, 60.976%, 60.976%
4.2, 4.2, 0.9, 78.571%, 78.571%
4.3, 4.3, 1.6, 62.791%, 62.791%
4.4, 4.4, 1.6, 63.636%, 63.636%
4.5, 4.5, 1.6, 64.444%, 64.444%
4.6, 4.6, 1.6, 65.217%, 65.217%
4.7, 4.7, 1.6, 65.957%, 65.957%
4.8, 4.8, 1.6, 66.667%, 66.667%
4.9, 4.9, 1.6, 67.347%, 67.347%
5.0, 5.0, 1.6, 68.0%, 68.0%
Average error from real rotations: 70.296%
Average error from expected rotations: 70.296%
