real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 0.6, 500.0%, 500.0%
0.2, 0.2, 0.6, 200.0%, 200.0%
0.3, 0.3, 0.6, 100.0%, 100.0%
0.4, 0.4, 0.7, 75.0%, 75.0%
0.5, 0.5, 0.7, 40.0%, 40.0%
0.6, 0.6, 0.7, 16.667%, 16.667%
0.7, 0.7, 0.9, 28.571%, 28.571%
0.8, 0.8, 0.9, 12.5%, 12.5%
0.9, 0.9, 0.9, 0.0%, 0.0%
1.0, 1.0, 0.9, 10.0%, 10.0%
1.1, 1.1, 0.9, 18.182%, 18.182%
1.2, 1.2, 0.9, 25.0%, 25.0%
1.3, 1.3, 1.6, 23.077%, 23.077%
1.4, 1.4, 1.6, 14.286%, 14.286%
1.5, 1.5, 1.6, 6.667%, 6.667%
1.6, 1.6, 1.6, 0.0%, 0.0%
1.7, 1.7, 1.6, 5.882%, 5.882%
1.8, 1.8, 1.6, 11.111%, 11.111%
1.9, 1.9, 1.6, 15.789%, 15.789%
2.0, 2.0, 1.6, 20.0%, 20.0%
2.1, 2.1, 2.1, 0.0%, 0.0%
2.2, 2.2, 2.1, 4.545%, 4.545%
2.3, 2.3, 2.1, 8.696%, 8.696%
2.4, 2.4, 2.5, 4.167%, 4.167%
2.5, 2.5, 2.5, 0.0%, 0.0%
2.6, 2.6, 3.2, 23.077%, 23.077%
2.7, 2.7, 3.1, 14.815%, 14.815%
2.8, 2.8, 3.2, 14.286%, 14.286%
2.9, 2.9, 3.2, 10.345%, 10.345%
3.0, 3.0, 4.4, 46.667%, 46.667%
3.1, 3.1, 4.4, 41.935%, 41.935%
3.2, 3.2, 4.8, 50.0%, 50.0%
3.3, 3.3, 4.8, 45.455%, 45.455%
3.4, 3.4, 4.4, 29.412%, 29.412%
3.5, 3.5, 4.7, 34.286%, 34.286%
3.6, 3.6, 4.7, 30.556%, 30.556%
3.7, 3.7, 4.5, 21.622%, 21.622%
3.8, 3.8, 4.7, 23.684%, 23.684%
3.9, 3.9, 4.8, 23.077%, 23.077%
4.0, 4.0, 4.7, 17.5%, 17.5%
4.1, 4.1, 4.8, 17.073%, 17.073%
4.2, 4.2, 4.8, 14.286%, 14.286%
4.3, 4.3, 4.7, 9.302%, 9.302%
4.4, 4.4, 4.8, 9.091%, 9.091%
4.5, 4.5, 4.8, 6.667%, 6.667%
4.6, 4.6, 4.7, 2.174%, 2.174%
4.7, 4.7, 4.7, 0.0%, 0.0%
4.8, 4.8, 4.8, 0.0%, 0.0%
4.9, 4.9, 4.7, 4.082%, 4.082%
5.0, 5.0, 4.8, 4.0%, 4.0%
Average error from real rotations: 32.671%
Average error from expected rotations: 32.671%
