real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
1.839, 1.8, 0.5, 72.811%, 72.222%
1.144, 1.1, 0.5, 56.294%, 54.545%
0.922, 0.9, 0.5, 45.77%, 44.444%
1.073, 1.1, 0.5, 53.402%, 54.545%
0.925, 0.9, 0.5, 45.946%, 44.444%
1.188, 1.2, 0.6, 49.495%, 50.0%
1.23, 1.2, 0.5, 59.35%, 58.333%
1.178, 1.2, 0.6, 49.066%, 50.0%
1.047, 1.0, 0.5, 52.245%, 50.0%
1.144, 1.1, 0.5, 56.294%, 54.545%
1.0, 1.0, 0.5, 50.0%, 50.0%
1.013, 1.0, 0.5, 50.642%, 50.0%
1.148, 1.1, 0.5, 56.446%, 54.545%
0.969, 1.0, 0.5, 48.4%, 50.0%
1.056, 1.1, 0.5, 52.652%, 54.545%
1.051, 1.1, 0.5, 52.426%, 54.545%
0.91, 0.9, 0.5, 45.055%, 44.444%
1.331, 1.3, 0.5, 62.434%, 61.538%
0.954, 1.0, 0.5, 47.589%, 50.0%
0.889, 0.9, 0.5, 43.757%, 44.444%
1.153, 1.2, 0.5, 56.635%, 58.333%
1.034, 1.0, 0.5, 51.644%, 50.0%
0.937, 0.9, 0.5, 46.638%, 44.444%
0.98, 1.0, 0.5, 48.98%, 50.0%
0.952, 1.0, 0.6, 36.975%, 40.0%
0.941, 0.9, 0.5, 46.865%, 44.444%
1.062, 1.1, 0.5, 52.919%, 54.545%
1.191, 1.2, 0.5, 58.018%, 58.333%
1.144, 1.1, 0.5, 56.294%, 54.545%
0.778, 0.8, 0.5, 35.733%, 37.5%
1.038, 1.0, 0.5, 51.83%, 50.0%
0.934, 0.9, 0.5, 46.467%, 44.444%
1.183, 1.2, 0.5, 57.735%, 58.333%
Average error from real rotations: 51.418%
Average error from expected rotations: 51.275%
