real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
1.576, 1.6, 0.5, 68.274%, 68.75%
0.944, 0.9, 0.5, 47.034%, 44.444%
1.931, 1.9, 0.5, 74.107%, 73.684%
1.096, 1.1, 0.5, 54.38%, 54.545%
0.934, 0.9, 0.5, 46.467%, 44.444%
1.577, 1.6, 0.5, 68.294%, 68.75%
1.099, 1.1, 0.5, 54.504%, 54.545%
1.176, 1.2, 0.5, 57.483%, 58.333%
1.341, 1.3, 0.5, 62.714%, 61.538%
0.829, 0.8, 0.5, 39.686%, 37.5%
1.003, 1.0, 0.5, 50.15%, 50.0%
1.185, 1.2, 0.7, 40.928%, 41.667%
1.061, 1.1, 0.5, 52.875%, 54.545%
1.601, 1.6, 0.5, 68.77%, 68.75%
1.045, 1.0, 0.5, 52.153%, 50.0%
1.187, 1.2, 0.5, 57.877%, 58.333%
0.844, 0.8, 0.5, 40.758%, 37.5%
1.085, 1.1, 0.5, 53.917%, 54.545%
1.224, 1.2, 0.5, 59.15%, 58.333%
1.044, 1.0, 0.5, 52.107%, 50.0%
1.118, 1.1, 0.5, 55.277%, 54.545%
0.962, 1.0, 0.5, 48.025%, 50.0%
1.195, 1.2, 0.5, 58.159%, 58.333%
1.13, 1.1, 0.5, 55.752%, 54.545%
1.078, 1.1, 0.5, 53.618%, 54.545%
1.145, 1.1, 0.5, 56.332%, 54.545%
1.403, 1.4, 0.5, 64.362%, 64.286%
0.997, 1.0, 0.5, 49.85%, 50.0%
1.064, 1.1, 0.5, 53.008%, 54.545%
1.078, 1.1, 0.5, 53.618%, 54.545%
0.989, 1.0, 0.7, 29.221%, 30.0%
1.084, 1.1, 0.5, 53.875%, 54.545%
1.295, 1.3, 0.5, 61.39%, 61.538%
1.104, 1.1, 0.5, 54.71%, 54.545%
1.197, 1.2, 0.5, 58.229%, 58.333%
0.965, 1.0, 0.5, 48.187%, 50.0%
Average error from real rotations: 54.312%
Average error from expected rotations: 54.14%
