real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
1.839, 1.8, 0.6, 67.374%, 66.667%
1.144, 1.1, 0.6, 47.552%, 45.455%
0.922, 0.9, 0.6, 34.924%, 33.333%
1.073, 1.1, 0.6, 44.082%, 45.455%
0.925, 0.9, 0.6, 35.135%, 33.333%
1.188, 1.2, 0.6, 49.495%, 50.0%
1.23, 1.2, 0.6, 51.22%, 50.0%
1.178, 1.2, 0.6, 49.066%, 50.0%
1.047, 1.0, 0.6, 42.693%, 40.0%
1.144, 1.1, 0.6, 47.552%, 45.455%
1.0, 1.0, 0.6, 40.0%, 40.0%
1.013, 1.0, 0.6, 40.77%, 40.0%
1.148, 1.1, 0.6, 47.735%, 45.455%
0.969, 1.0, 0.6, 38.08%, 40.0%
1.056, 1.1, 0.6, 43.182%, 45.455%
1.051, 1.1, 1.1, 4.662%, 0.0%
0.91, 0.9, 0.6, 34.066%, 33.333%
1.331, 1.3, 0.6, 54.921%, 53.846%
Average error from real rotations: 42.917%
Average error from expected rotations: 42.099%
