real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 1.3, 1200.0%, 1200.0%
0.2, 0.2, 1.1, 450.0%, 450.0%
0.3, 0.3, 1.1, 266.667%, 266.667%
0.4, 0.4, 1.1, 175.0%, 175.0%
0.5, 0.5, 1.1, 120.0%, 120.0%
0.6, 0.6, 1.1, 83.333%, 83.333%
0.7, 0.7, 1.1, 57.143%, 57.143%
0.8, 0.8, 1.1, 37.5%, 37.5%
0.9, 0.9, 1.1, 22.222%, 22.222%
1.0, 1.0, 1.1, 10.0%, 10.0%
1.1, 1.1, 1.1, 0.0%, 0.0%
1.2, 1.2, 1.1, 8.333%, 8.333%
1.3, 1.3, 2.5, 92.308%, 92.308%
1.4, 1.4, 3.6, 157.143%, 157.143%
1.5, 1.5, 2.2, 46.667%, 46.667%
1.6, 1.6, 3.4, 112.5%, 112.5%
1.7, 1.7, 3.4, 100.0%, 100.0%
1.8, 1.8, 3.6, 100.0%, 100.0%
1.9, 1.9, 3.6, 89.474%, 89.474%
2.0, 2.0, 3.6, 80.0%, 80.0%
2.1, 2.1, 3.6, 71.429%, 71.429%
2.2, 2.2, 3.6, 63.636%, 63.636%
2.3, 2.3, 3.6, 56.522%, 56.522%
2.4, 2.4, 3.4, 41.667%, 41.667%
2.5, 2.5, 3.4, 36.0%, 36.0%
2.6, 2.6, 3.6, 38.462%, 38.462%
2.7, 2.7, 4.7, 74.074%, 74.074%
2.8, 2.8, 4.7, 67.857%, 67.857%
2.9, 2.9, 4.7, 62.069%, 62.069%
3.0, 3.0, 4.5, 50.0%, 50.0%
3.1, 3.1, 4.7, 51.613%, 51.613%
3.2, 3.2, 4.7, 46.875%, 46.875%
3.3, 3.3, 4.7, 42.424%, 42.424%
3.4, 3.4, 4.5, 32.353%, 32.353%
3.5, 3.5, 4.5, 28.571%, 28.571%
3.6, 3.6, 4.6, 27.778%, 27.778%
3.7, 3.7, 4.6, 24.324%, 24.324%
3.8, 3.8, 4.7, 23.684%, 23.684%
3.9, 3.9, 4.6, 17.949%, 17.949%
4.0, 4.0, 4.5, 12.5%, 12.5%
4.1, 4.1, 4.5, 9.756%, 9.756%
4.2, 4.2, 4.6, 9.524%, 9.524%
4.3, 4.3, 4.6, 6.977%, 6.977%
4.4, 4.4, 4.5, 2.273%, 2.273%
4.5, 4.5, 4.5, 0.0%, 0.0%
4.6, 4.6, 4.5, 2.174%, 2.174%
4.7, 4.7, 4.5, 4.255%, 4.255%
4.8, 4.8, 4.5, 6.25%, 6.25%
4.9, 4.9, 4.5, 8.163%, 8.163%
5.0, 5.0, 4.5, 10.0%, 10.0%
Average error from real rotations: 82.749%
Average error from expected rotations: 82.749%
